LineData,School,County,CasesPriorWeek,StudentsPriorWeek,TeachersPriorWeek,StaffPriorWeek,UnknownPriorWeek,SymptomsPriorWeekNo,SymptomsPriorWeekYes,SymptomsPriorWeekUnknown,CasesTotal,StudentsTotal,TeachersTotal,StaffTotal,UnknownTotal,SymptomsTotalYes,SymptomsTotalNo,SymptomsTotalUnknown
ABRAHAM LINCOLN MIDDLE SCHOOL (GAINESVILLE) ALACHUA 1 0 0 1 0 1 0 0 1 0 0 1 0 1 0 0,ABRAHAM LINCOLN MIDDLE SCHOOL (GAINESVILLE),ALACHUA,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0
BOULWARE SPRINGS CHARTER (GAINESVILLE) ALACHUA 1 0 1 0 0 1 0 0 3 1 1 0 1 3 0 0,BOULWARE SPRINGS CHARTER (GAINESVILLE),ALACHUA,1,0,1,0,0,1,0,0,3,1,1,0,1,3,0,0
CARING & SHARING LEARNING SCHOOL (GAINESVILLE) ALACHUA 1 0 0 1 0 1 0 0 2 1 0 1 0 1 0 1,CARING & SHARING LEARNING SCHOOL (GAINESVILLE),ALACHUA,1,0,0,1,0,1,0,0,2,1,0,1,0,1,0,1
CAROLYN BEATRICE PARKER ELEMENTARY (GAINESVILLE) ALACHUA 1 1 0 0 0 1 0 0,CAROLYN BEATRICE PARKER ELEMENTARY (GAINESVILLE),ALACHUA,,,,,,,,,1,1,0,0,0,1,0,0
CHESTER SHELL ELEMENTARY SCHOOL (HAWTHORNE) ALACHUA 1 1 0 0 0 1 0 0 1 1 0 0 0 1 0 0,CHESTER SHELL ELEMENTARY SCHOOL (HAWTHORNE),ALACHUA,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0
CORNERSTONE ACADEMY (GAINESVILLE) ALACHUA 2 2 0 0 0 2 0 0,CORNERSTONE ACADEMY (GAINESVILLE),ALACHUA,,,,,,,,,2,2,0,0,0,2,0,0
COUNTRYSIDE CHRISTIAN SCHOOL (GAINESVILLE) ALACHUA 5 5 0 0 0 4 0 1,COUNTRYSIDE CHRISTIAN SCHOOL (GAINESVILLE),ALACHUA,,,,,,,,,5,5,0,0,0,4,0,1
EASTSIDE HIGH SCHOOL (GAINESVILLE) ALACHUA 2 2 0 0 0 1 1 0,EASTSIDE HIGH SCHOOL (GAINESVILLE),ALACHUA,,,,,,,,,2,2,0,0,0,1,1,0
F. W. BUCHHOLZ HIGH SCHOOL (GAINESVILLE) ALACHUA 6 5 1 0 0 5 1 0,F. W. BUCHHOLZ HIGH SCHOOL (GAINESVILLE),ALACHUA,,,,,,,,,6,5,1,0,0,5,1,0
FIRST CHRISTIAN ACADEMY (HIGH SPRINGS) ALACHUA 2 2 0 0 0 1 1 0,FIRST CHRISTIAN ACADEMY (HIGH SPRINGS),ALACHUA,,,,,,,,,2,2,0,0,0,1,1,0
GAINESVILLE HIGH SCHOOL (GAINESVILLE) ALACHUA 5 4 0 1 0 5 0 0 9 7 0 1 1 8 1 0,GAINESVILLE HIGH SCHOOL (GAINESVILLE),ALACHUA,5,4,0,1,0,5,0,0,9,7,0,1,1,8,1,0
GLEN SPRINGS ELEMENTARY SCHOOL (GAINESVILLE) ALACHUA 2 2 0 0 0 1 1 0,GLEN SPRINGS ELEMENTARY SCHOOL (GAINESVILLE),ALACHUA,,,,,,,,,2,2,0,0,0,1,1,0
HAWTHORNE MIDDLE/HIGH SCHOOL (HAWTHORNE) ALACHUA 1 0 0 0 1 1 0 0,HAWTHORNE MIDDLE/HIGH SCHOOL (HAWTHORNE),ALACHUA,,,,,,,,,1,0,0,0,1,1,0,0
HIDDEN OAK ELEMENTARY SCHOOL (GAINESVILLE) ALACHUA 2 0 1 1 0 1 1 0,HIDDEN OAK ELEMENTARY SCHOOL (GAINESVILLE),ALACHUA,,,,,,,,,2,0,1,1,0,1,1,0
HOWARD W. BISHOP MIDDLE SCHOOL (GAINESVILLE) ALACHUA 1 0 0 1 0 1 0 0 10 9 0 1 0 6 3 1,HOWARD W. BISHOP MIDDLE SCHOOL (GAINESVILLE),ALACHUA,1,0,0,1,0,1,0,0,10,9,0,1,0,6,3,1
KIMBALL WILES ELEMENTARY SCHOOL (GAINESVILLE) ALACHUA 1 1 0 0 0 1 0 0,KIMBALL WILES ELEMENTARY SCHOOL (GAINESVILLE),ALACHUA,,,,,,,,,1,1,0,0,0,1,0,0
LAKE FOREST ELEMENTARY SCHOOL (GAINESVILLE) ALACHUA 1 1 0 0 0 1 0 0,LAKE FOREST ELEMENTARY SCHOOL (GAINESVILLE),ALACHUA,,,,,,,,,1,1,0,0,0,1,0,0
LAWTON M. CHILES ELEMENTARY SCHOOL (GAINESVILLE) ALACHUA 1 0 0 1 0 1 0 0,LAWTON M. CHILES ELEMENTARY SCHOOL (GAINESVILLE),ALACHUA,,,,,,,,,1,0,0,1,0,1,0,0
LITTLEWOOD ELEMENTARY SCHOOL (GAINESVILLE) ALACHUA 1 1 0 0 0 1 0 0,LITTLEWOOD ELEMENTARY SCHOOL (GAINESVILLE),ALACHUA,,,,,,,,,1,1,0,0,0,1,0,0
LIVING SPRINGS ACADEMY (HIGH SPRINGS) ALACHUA 1 1 0 0 0 1 0 0,LIVING SPRINGS ACADEMY (HIGH SPRINGS),ALACHUA,,,,,,,,,1,1,0,0,0,1,0,0
MYRA TERWILLIGER ELEMENTARY SCHOOL (GAINESVILLE) ALACHUA 1 1 0 0 0 1 0 0,MYRA TERWILLIGER ELEMENTARY SCHOOL (GAINESVILLE),ALACHUA,,,,,,,,,1,1,0,0,0,1,0,0
NEWBERRY ELEMENTARY SCHOOL (NEWBERRY) ALACHUA 5 4 1 0 0 3 2 0,NEWBERRY ELEMENTARY SCHOOL (NEWBERRY),ALACHUA,,,,,,,,,5,4,1,0,0,3,2,0
NEWBERRY HIGH SCHOOL (NEWBERRY) ALACHUA 15 11 2 1 1 8 5 2,NEWBERRY HIGH SCHOOL (NEWBERRY),ALACHUA,,,,,,,,,5,1,2,1,1,8,5,2
OAK HALL SCHOOL (GAINESVILLE) ALACHUA 3 2 1 0 0 3 0 0,OAK HALL SCHOOL (GAINESVILLE),ALACHUA,,,,,,,,,3,2,1,0,0,3,0,0
OAK VIEW MIDDLE SCHOOL (NEWBERRY) ALACHUA 1 1 0 0 0 1 0 0 5 4 1 0 0 3 2 0,OAK VIEW MIDDLE SCHOOL (NEWBERRY),ALACHUA,1,1,0,0,0,1,0,0,5,4,1,0,0,3,2,0
P.K. YONGE DEVELOPMENTAL RESEARCH SCHOOL (GAINESVILLE) ALACHUA 1 1 0 0 0 1 0 0 4 3 0 1 0 4 0 0,P.K. YONGE DEVELOPMENTAL RESEARCH SCHOOL (GAINESVILLE),ALACHUA,1,1,0,0,0,1,0,0,4,3,0,1,0,4,0,0
RESILIENCE CHARTER SCHOOL INC (GAINESVILLE) ALACHUA 1 1 0 0 0 1 0 0,RESILIENCE CHARTER SCHOOL INC (GAINESVILLE),ALACHUA,,,,,,,,,1,1,0,0,0,1,0,0
SAINT FRANCIS CATHOLIC HIGH SCHOOL (GAINESVILLE) ALACHUA 1 0 1 0 0 1 0 0,SAINT FRANCIS CATHOLIC HIGH SCHOOL (GAINESVILLE),ALACHUA,,,,,,,,,1,0,1,0,0,1,0,0
SANTA FE HIGH SCHOOL (ALACHUA) ALACHUA 3 3 0 0 0 3 0 0 5 5 0 0 0 5 0 0,SANTA FE HIGH SCHOOL (ALACHUA),ALACHUA,3,3,0,0,0,3,0,0,5,5,0,0,0,5,0,0
STEPHEN FOSTER ELEMENTARY SCHOOL (GAINESVILLE) ALACHUA 1 1 0 0 0 1 0 0,STEPHEN FOSTER ELEMENTARY SCHOOL (GAINESVILLE),ALACHUA,,,,,,,,,1,1,0,0,0,1,0,0
"THE EINSTEIN SCHOOL, INC. (GAINESVILLE) ALACHUA 1 1 0 0 0 0 1 0","THE EINSTEIN SCHOOL, INC. (GAINESVILLE)",ALACHUA,,,,,,,,,1,1,0,0,0,0,1,0
THE ROCK SCHOOL (GAINESVILLE) ALACHUA 2 2 0 0 0 2 0 0,THE ROCK SCHOOL (GAINESVILLE),ALACHUA,,,,,,,,,2,2,0,0,0,2,0,0
UNIVERSITY OF FLORIDA ALACHUA 1 1 0 0 0 1 0 0,UNIVERSITY OF FLORIDA,ALACHUA,,,,,,,,,1,1,0,0,0,1,0,0
W. A. METCALFE ELEMENTARY SCHOOL (GAINESVILLE) ALACHUA 1 1 0 0 0 0 1 0,W. A. METCALFE ELEMENTARY SCHOOL (GAINESVILLE),ALACHUA,,,,,,,,,1,1,0,0,0,0,1,0
WESTWOOD MIDDLE SCHOOL (GAINESVILLE) ALACHUA 2 2 0 0 0 0 1 1,WESTWOOD MIDDLE SCHOOL (GAINESVILLE),ALACHUA,,,,,,,,,2,2,0,0,0,0,1,1
WILES HEAD START (GAINESVILLE) ALACHUA 1 1 0 0 0 1 0 0 1 1 0 0 0 1 0 0,WILES HEAD START (GAINESVILLE),ALACHUA,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0
BAKER COUNTY MIDDLE SCHOOL (MACCLENNY) BAKER 10 7 2 0 1 9 1 0,BAKER COUNTY MIDDLE SCHOOL (MACCLENNY),BAKER,,,,,,,,,0,7,2,0,1,9,1,0
BAKER COUNTY SENIOR HIGH SCHOOL (GLEN ST MARY) BAKER 12 11 1 0 0 12 0 0 32 26 2 1 3 28 4 0,BAKER COUNTY SENIOR HIGH SCHOOL (GLEN ST MARY),BAKER,12,11,1,0,0,12,0,0,32,26,2,1,3,28,4,0
J FRANKLYN KELLER INTERMEDIATE SCHOOL (MACCLENNY) BAKER 7 4 1 0 2 7 0 0,J FRANKLYN KELLER INTERMEDIATE SCHOOL (MACCLENNY),BAKER,,,,,,,,,7,4,1,0,2,7,0,0
MACCLENNY ELEMENTARY SCHOOL (MACCLENNY) BAKER 2 2 0 0 0 2 0 0,MACCLENNY ELEMENTARY SCHOOL (MACCLENNY),BAKER,,,,,,,,,2,2,0,0,0,2,0,0
PREK/KINDERGARTEN CENTER (MACCLENNY) BAKER 1 1 0 0 0 1 0 0 1 1 0 0 0 1 0 0,PREK/KINDERGARTEN CENTER (MACCLENNY),BAKER,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0
WESTSIDE ELEMENTARY SCHOOL (GLEN ST MARY) BAKER 3 1 0 0 2 1 2 0,WESTSIDE ELEMENTARY SCHOOL (GLEN ST MARY),BAKER,,,,,,,,,3,1,0,0,2,1,2,0
A. CRAWFORD MOSLEY HIGH SCHOOL (LYNN HAVEN) BAY 16 14 0 0 2 14 1 1,A. CRAWFORD MOSLEY HIGH SCHOOL (LYNN HAVEN),BAY,,,,,,,,,6,4,0,0,2,4,1,1
